date,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,PPO Agent 1,PPO Agent 2,TD3 Agent 1,TD3 Agent 2,Mean Var,djia
2025-02-26 19:30:00+00:00,1083109.8879389954,1083109.8879389954,1051511.3223962402,1083109.8879389954,1085842.835441971,1085842.835441971,1051511.3223962402,1083109.8879389954,955492.2439786999,970135.1176902027
2025-02-26 20:30:00+00:00,1089571.3978266907,1089571.3978266907,1057784.0725793457,1089571.3978266907,1092320.7253040315,1092320.7253040315,1057784.0725793457,1089571.3978266907,961192.7392564822,970782.6750008576
2025-02-27 14:30:00+00:00,1056104.0302424622,1056104.0302424622,1025294.3852166748,1056104.0302424622,1058768.517700577,1058768.517700577,1025294.3852166748,1056104.0302424622,931667.0441496768,978879.8908186428
2025-02-27 15:30:00+00:00,1046163.1923213196,1046163.1923213196,1015643.9484033203,1046163.1923213196,1048802.479683304,1048802.479683304,1015643.9484033203,1046163.1923213196,922897.0042346122,977814.0703144768
2025-02-27 16:30:00+00:00,1052790.417602081,1052790.417602081,1022077.5729455565,1052790.417602081,1055446.5050281524,1055446.5050281524,1022077.5729455565,1052790.417602081,928743.6975113219,976874.8983691139
2025-02-27 17:30:00+00:00,1057180.9274897766,1057180.9274897766,1026339.8231286621,1057180.9274897766,1059848.1448902132,1059848.1448902132,1026339.8231286621,1057180.9274897766,932617.1081099074,976871.7561581443
2025-02-27 18:30:00+00:00,1025163.28518631,1025163.28518631,995257.5103082276,1025163.28518631,1027749.3376316072,1027749.3376316072,995257.5103082276,1025163.28518631,904370.3945818198,972355.9625766164
2025-02-27 19:30:00+00:00,1009962.1527705383,1009962.1527705383,980500.4476708984,1009962.1527705383,1012509.6702350617,1012509.6702350617,980500.4476708984,1009962.1527705383,890959.5997274985,966578.745858064
2025-02-27 20:30:00+00:00,994222.5401301576,994222.5401301576,965220.6353997804,994222.5401301576,996730.1575626375,996730.1575626375,965220.6353997804,994222.5401301576,877073.7450139625,966376.5096687141
2025-02-28 14:30:00+00:00,1016755.0302424622,1016755.0302424622,987094.8852166748,1016755.0302424622,1019319.7677005768,1019319.7677005768,987094.8852166748,1016755.0302424622,896952.4352449363,971805.1155369153
2025-02-28 15:30:00+00:00,1007062.702209015,1007062.702209015,977685.6985864259,1007062.702209015,1009602.8695453645,1009602.8695453645,977685.6985864259,1007062.702209015,888401.6365700634,968893.5952226523
2025-02-28 16:30:00+00:00,1012207.0844111633,1012207.0844111633,982679.7982568359,1012207.0844111633,1014760.2927936554,1014760.2927936554,982679.7982568359,1012207.0844111633,892940.1309715498,969938.2058027734
2025-02-28 17:30:00+00:00,998943.5959773255,998943.5959773255,969803.7753228759,998943.5959773255,1001463.1813205719,1001463.1813205719,969803.7753228759,998943.5959773255,881238.7709956106,965778.3548971926
2025-02-28 18:30:00+00:00,998033.172545929,998033.172545929,968919.9480371093,998033.172545929,1000550.4499591828,1000550.4499591828,968919.9480371093,998033.172545929,880435.5741327007,967675.639337374
2025-02-28 19:30:00+00:00,1009755.0401301576,1009755.0401301576,980299.3853997804,1009755.0401301576,1012302.0325626375,1012302.0325626375,980299.3853997804,1009755.0401301576,890776.880107939,973294.8726710653
2025-02-28 20:30:00+00:00,1035973.9077143859,1035973.9077143859,1005752.322762451,1035973.9077143859,1038587.3651660918,1038587.3651660918,1005752.322762451,1035973.9077143859,913907.7788375552,979392.5076248804
2025-03-03 14:30:00+00:00,990080.5401301576,990080.5401301576,961199.6353997804,990080.5401301576,992577.6575626375,992577.6575626375,961199.6353997804,990080.5401301576,873419.5756555687,980528.5041740345
2025-03-03 15:30:00+00:00,987678.172545929,987678.172545929,958867.4480371093,987678.172545929,990169.1999591828,990169.1999591828,958867.4480371093,987678.172545929,871300.1507367163,976961.3964544163
2025-03-03 16:30:00+00:00,980968.1527705383,980968.1527705383,952353.4476708984,980968.1527705383,983442.1702350617,983442.1702350617,952353.4476708984,980968.1527705383,865380.4142187423,978364.83007054
2025-03-03 17:30:00+00:00,954707.824737091,954707.824737091,926860.2610406493,954707.824737091,957115.2720798492,957115.2720798492,926860.2610406493,954707.824737091,842212.9381102943,970673.1340351113
2025-03-03 18:30:00+00:00,961376.4472651674,961376.4472651674,933334.0734948731,961376.4472651674,963800.7996143342,963800.7996143342,933334.0734948731,961376.4472651674,848096.1530076364,970859.0481841468
2025-03-03 19:30:00+00:00,937559.9472651674,937559.9472651674,910213.3234948731,937559.9472651674,939923.9246143342,939923.9246143342,910213.3234948731,937559.9472651674,827084.6791968724,960809.9956524019
2025-03-03 20:30:00+00:00,944518.5401301576,944518.5401301576,916968.6353997804,944518.5401301576,946900.1575626375,946900.1575626375,916968.6353997804,944518.5401301576,833223.7127132375,965233.3558612403
2025-03-04 14:30:00+00:00,924636.9274897766,924636.9274897766,897667.8231286621,924636.9274897766,926968.144890213,926968.144890213,897667.8231286621,924636.9274897766,815683.6886413076,951023.4923038961
2025-03-04 15:30:00+00:00,926459.4176020812,926459.4176020812,899437.0729455565,926459.4176020812,928795.2550281524,928795.2550281524,899437.0729455565,926459.4176020812,817291.5320803126,947472.5320573164
2025-03-04 16:30:00+00:00,961088.1833796692,961088.1833796692,933054.2306451416,961088.1833796692,963511.8049777985,963511.8049777985,933054.2306451416,961088.1833796692,847841.8398599979,951920.2444011691
2025-03-04 17:30:00+00:00,962660.4571528627,962660.4571528627,934580.5736779786,962660.4571528627,965088.0644763948,965088.0644763948,934580.5736779786,962660.4571528627,849228.9365874266,952274.3541207173
2025-03-04 18:30:00+00:00,975665.5130000305,975665.5130000305,947205.7136010742,975665.5130000305,978126.0882343292,978126.0882343292,947205.7136010742,975665.5130000305,860702.3012858621,957373.9006734893
2025-03-04 19:30:00+00:00,984944.437377472,984944.437377472,956213.5733117675,984944.437377472,987428.5347522736,987428.5347522736,956213.5733117675,984944.437377472,868888.3855782086,960551.0250983228
2025-03-04 20:30:00+00:00,960672.3148493958,960672.3148493958,932650.5108575439,960672.3148493958,963094.8822177887,963094.8822177887,932650.5108575439,960672.3148493958,847474.9509076932,950000.3534987342
2025-03-05 14:30:00+00:00,960755.172545929,960755.172545929,932730.9480371093,960755.172545929,963177.9499591828,963177.9499591828,932730.9480371093,960755.172545929,847548.049907157,951556.4461977981
2025-03-05 15:30:00+00:00,956115.2679438782,956115.2679438782,928226.5886926269,956115.2679438782,958526.2831653595,958526.2831653595,928226.5886926269,956115.2679438782,843454.6174535877,949513.2235148055
2025-03-05 16:30:00+00:00,965668.4253840636,965668.4253840636,937500.6703118895,965668.4253840636,968103.6579288482,968103.6579288482,937500.6703118895,965668.4253840636,851882.6365732972,955145.6366778415
2025-03-05 17:30:00+00:00,963240.3346247864,963240.3346247864,935143.5112237548,963240.3346247864,965669.4119419098,965669.4119419098,935143.5112237548,963240.3346247864,849740.5180672735,955074.1513782829
2025-03-05 18:30:00+00:00,970197.284240265,970197.284240265,941897.2278833009,970197.284240265,972643.997475052,972643.997475052,941897.2278833009,970197.284240265,855878.1018704535,961296.9510690543
2025-03-05 19:30:00+00:00,974755.1527705383,974755.1527705383,946321.9476708984,974755.1527705383,977213.4202350617,977213.4202350617,946321.9476708984,974755.1527705383,859899.1601811517,962739.6623222982
2025-03-05 20:30:00+00:00,971690.0500178528,971690.0500178528,943346.3855828857,971690.0500178528,974140.5474246979,974140.5474246979,943346.3855828857,971690.0500178528,857195.0547829885,960665.1920968855
2025-03-06 14:30:00+00:00,951430.6795954895,951430.6795954895,923678.8509454345,951430.6795954895,953829.8193515778,953829.8193515778,923678.8509454345,951430.6795954895,839321.7639530154,955764.826806132
2025-03-06 15:30:00+00:00,944932.702209015,944932.702209015,917370.6985864259,944932.702209015,947315.3695453645,947315.3695453645,917370.6985864259,944932.702209015,833589.0961941573,958191.4865110557
