time/total_timesteps,train/reward,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/clip_fraction
166912,-1.9989461,1304,2250,74,11108.220068359375,-3.162231296300888e-05,13030,8.568168e-08,5131.470703125,-1.405084639787674,1.3575277728743006e-05,0.9862441420555115,0.2,0.0017619132995605469,0.0
167040,4.2898145,1305,2250,74,1116.3395202636718,-2.737406175583601e-05,13040,1.6950071e-07,616.4976806640625,-1.4050828576087953,1.3575277728743006e-05,0.9862357378005981,0.2,0.004257559776306152,0.0
167168,5.0798545,1306,2250,74,345.21285247802734,-0.00022185584530234336,13050,3.1380914e-06,158.6970977783203,-1.4051067411899567,1.3575277728743006e-05,0.9863136410713196,0.2,-0.003275156021118164,0.0
167296,1.3241068,1307,2250,74,524.5691177368165,-0.00024714774917811155,13060,2.1606684e-05,297.07855224609375,-1.4051884591579438,1.3575277728743006e-05,0.986367404460907,0.2,-0.00031888484954833984,0.0
167424,25.97993,1308,2251,74,1266.1099853515625,-0.000463961623609066,13070,2.226606e-05,666.1328125,-1.405205649137497,1.3575277728743006e-05,0.9863414764404297,0.2,0.0034584999084472656,0.0
167552,6.6077046,1309,2251,74,4304.889892578125,-9.048404172062874e-06,13080,7.892959e-07,1811.60888671875,-1.4051751136779784,1.3575277728743006e-05,0.9863268136978149,0.2,-0.00043320655822753906,0.0
167680,-19.454147,1310,2251,74,2556.6575317382812,-1.9511301070451735e-05,13090,5.401671e-08,1278.32421875,-1.40517538189888,1.3575277728743006e-05,0.9863407015800476,0.2,0.0007308721542358398,0.0
167808,3.1381454,1311,2251,74,2423.8401611328127,-0.00026067767757922413,13100,2.4479814e-06,1307.5206298828125,-1.4051644027233123,1.3575277728743006e-05,0.9862830638885498,0.2,0.00015622377395629883,0.0
167936,-0.1551327,1312,2251,74,1306.6077575683594,-0.000186916277743876,13110,5.6908466e-06,671.0582885742188,-1.4051180899143219,1.3575277728743006e-05,0.986285924911499,0.2,0.0002878904342651367,0.0
168064,-3.4753437,1313,2251,74,7395.632153320313,0.00013990369625389577,13120,2.0861626e-07,4196.53076171875,-1.4051490366458892,1.3575277728743006e-05,0.9863235354423523,0.2,0.002458930015563965,0.0
