date,A2C Agent 1,A2C Agent 2,A2C Agent 3,SAC Agent 1,SAC Agent 2,SAC Agent 3,PPO Agent 1,PPO Agent 2,PPO Agent 3,TD3 Agent 1,TD3 Agent 2,TD3 Agent 3,mvo,djia
2025-05-02 15:30:00+00:00,876373.7809730684,910321.6874992414,1622531.8459971843,875337.3031210634,912471.8028464399,1418627.870433215,876544.3556386186,918929.5776296764,1585283.7179105112,875337.3031210634,912471.8028464399,1418627.870433215,795846.0357706562,943837.7981696539
2025-05-02 16:30:00+00:00,873467.896413437,907747.4201170169,1617506.3970651967,872434.843068573,909621.4343416485,1414258.5674199178,873637.7100774002,916344.9070079139,1580797.9299098914,872434.843068573,909621.4343416485,1414258.5674199178,793206.9661743169,942938.7755902839
2025-05-02 17:30:00+00:00,876793.8183036956,911532.2687822289,1624159.4330710436,875756.845448944,913812.1753112603,1419915.9789545445,876964.5029698561,920344.0825918346,1587336.5497795574,875756.845448944,913812.1753112603,1419915.9789545445,796227.5057588262,943528.5222738842
2025-05-02 18:30:00+00:00,874273.5943199311,909093.8104032684,1620241.8926347087,873239.591481659,911222.7199094783,1416457.718390694,874443.6189824295,918660.1078580907,1583775.3095204765,873239.591481659,911222.7199094783,1416457.718390694,793938.6858298054,944122.9954922235
2025-05-02 19:30:00+00:00,873662.6203361665,907934.109492203,1618908.9635203655,872629.3375143738,910337.2331218588,1415432.4304907746,873832.4849950027,917788.3937358529,1582172.2062828718,872629.3375143738,910337.2331218588,1415432.4304907746,793383.8107714128,943116.6003123616
2025-05-05 13:30:00+00:00,864918.2809730684,899031.1707786123,1603253.9035170246,863895.3031210634,901418.6522610231,1402021.2837035076,865085.8556386186,908935.165202935,1566729.1020744906,863895.3031210634,901418.6522610231,1402021.2837035076,785442.3665468865,942264.5755406821
2025-05-05 14:30:00+00:00,870072.4635597382,905224.0411296878,1613254.6525315985,869043.4116415711,907709.7232557378,1410860.2427707782,870241.3880177689,914629.9641593383,1577048.0123057752,869043.4116415711,907709.7232557378,1410860.2427707782,790123.2980427293,943882.8340195281
2025-05-05 15:30:00+00:00,869042.2679649506,904300.6280883438,1611675.8016960188,868014.4301047059,907621.7651167266,1409911.9876844585,869210.9226323318,914274.4186246096,1575700.4932468552,868014.4301047059,907621.7651167266,1409911.9876844585,789187.6938173393,945664.7376162338
2025-05-05 16:30:00+00:00,871676.9840217743,907504.0528628689,1616787.8417736026,870646.0412192077,911028.0044222106,1414204.8690397139,871846.3286763381,917153.9011354083,1580529.8273049768,870646.0412192077,911028.0044222106,1414204.8690397139,791580.4932895359,943988.7797416083
2025-05-05 17:30:00+00:00,873517.5387779389,909928.7929796729,1620402.7508182505,872484.4269308777,913333.3836176987,1417371.9458273859,873687.3654423904,919137.8057266431,1584386.5261989166,872484.4269308777,913333.3836176987,1417371.9458273859,793252.0504342588,945691.848306059
2025-05-05 18:30:00+00:00,873540.4371925507,910918.8770202097,1621423.0903241984,872507.2983603211,914084.925503067,1418186.7011872807,873710.2698537064,919633.3436178709,1584473.357211638,872507.2983603211,914084.925503067,1418186.7011872807,793272.8463428939,942842.6396572852
2025-05-05 19:30:00+00:00,869233.1463524019,906824.1518802047,1613996.9774136466,868205.0835470888,909648.6316175836,1411824.241606428,869401.8510075761,915692.7804998083,1577160.7862927713,868205.0835470888,909648.6316175836,1411824.241606428,789361.0459717638,941222.6867603252
2025-05-06 13:30:00+00:00,860412.4206749116,897029.2126641017,1597248.6329217826,859394.7528586121,899948.1698327368,1397424.8082595563,860578.8153325272,905859.0585187204,1560540.5864502452,859394.7528586121,899948.1698327368,1397424.8082595563,781350.2291359887,937106.588441625
2025-05-06 14:30:00+00:00,863581.7826667939,900966.2754790911,1603393.7228830785,862560.3798422547,903805.0651289738,1403096.025356921,863749.0073262405,910214.5043372895,1566725.8221100452,862560.3798422547,903805.0651289738,1403096.025356921,784228.5839711274,937680.8178224962
2025-05-06 15:30:00+00:00,863183.88629686,900771.4644877041,1603234.8114289776,862162.952382538,903717.1433556787,1402548.294236104,863351.0067540361,909804.151344086,1566268.688654025,862162.952382538,903717.1433556787,1402548.294236104,783867.2219862179,936028.1359019642
2025-05-06 16:30:00+00:00,862436.2210136568,900160.3041674909,1602603.821574664,861416.1682028505,903168.1482558511,1402423.2492099036,862603.1456700517,909106.6646554585,1565577.2236860038,861416.1682028505,903168.1482558511,1402423.2492099036,783188.206465591,933885.4996067613
2025-05-06 17:30:00+00:00,868240.3573280488,906897.1525536614,1613824.4358305167,867213.4644980164,909554.6126934743,1412563.517730294,868408.8019887161,916135.9730682556,1576660.8194308514,867213.4644980164,909554.6126934743,1412563.517730294,788459.4136887243,934204.050212208
2025-05-06 18:30:00+00:00,872440.7306343232,911933.2559093096,1621841.5152835457,871408.887776825,913963.5593764541,1420205.985356109,872610.275301094,921494.6000491254,1584585.7411870991,871408.887776825,913963.5593764541,1420205.985356109,792274.1135704258,934216.3570385103
2025-05-06 19:30:00+00:00,866445.6576667939,905980.1259718732,1610735.3095069411,865420.8798422547,907766.4677345732,1411424.5629528824,866613.6323262405,915172.4422255679,1574702.508517724,865420.8798422547,907766.4677345732,1411424.5629528824,786829.5012770699,931964.1186452967
2025-05-07 13:30:00+00:00,866715.2529960787,906337.2671039858,1611646.7181121514,865690.157460663,908885.5141399822,1412388.9111897824,866883.2982579423,915561.8061175034,1576008.1134439688,865690.157460663,908885.5141399822,1412388.9111897824,787074.342674665,937438.7835718852
2025-05-07 14:30:00+00:00,865300.0960136568,905607.6047966472,1610029.229790868,864276.6682028505,907597.1836049447,1410200.109898234,865467.7706700517,914091.429522201,1574396.6985204197,864276.6682028505,907597.1836049447,1410200.109898234,785789.1237715334,936776.711988784
2025-05-07 15:30:00+00:00,868239.5998741303,909051.1088230532,1616466.8975316477,867212.7079367371,911620.9351841356,1415146.6777802357,868408.0443364334,917443.8284281546,1580191.0320852378,867212.7079367371,911620.9351841356,1415146.6777802357,788458.7257833496,937149.1272542784
2025-05-07 16:30:00+00:00,870264.1576667939,910770.6660879507,1619921.5790894723,869234.8798422547,913615.7607420112,1418090.5589424188,870433.1323262405,919300.5614553879,1583633.1605462844,869234.8798422547,913615.7607420112,1418090.5589424188,790297.3910183264,940404.9070705303
2025-05-07 17:30:00+00:00,863047.9524513398,903292.6280349639,1607197.6911785835,862027.1787314148,906082.3271314166,1406733.435188372,863215.037309761,912624.7596650315,1570728.8086183777,862027.1787314148,906082.3271314166,1406733.435188372,783743.7694293582,934976.348152625
